,Reaction_name,Reaction_name_long,Subsystem,cell_type,associated_genes
21,FAEL184_pos,fatty-acyl-CoA_elongation_(n-C20:4CoA),Fatty_acid_synthesis,Endothelial,ELOVL2
22,FACOAL1822_neg,fatty-acid--CoA_ligase,Fatty_acid_oxidation,Endothelial,ACSL1
23,DESAT18_8_pos,fatty_acyl-CoA_desaturase_(n-C18:1CoA_->_n-C18:2CoA),Fatty_acid_synthesis,Endothelial,FADS2
24,r0934_pos,Neurotransmitter:Sodium_Symporter_(NSS)_TCDB:2.A.22.3.3,Transport__peroxisomal,Endothelial,SLC6A6
25,TAURtcx_neg,taurine_transport_(sodium_symport)_(cytosol_to_peroxisome),Taurine_and_hypotaurine_metabolism,Endothelial,SLC6A6
26,CITt4_4_pos,citrate_transport_via_sodium_symport,Transport__extracellular,Endothelial,SLC13A5
27,BAAT2x_pos,bile_acid_Coenzyme_A:_amino_acid_N-acyltransferase,Bile_acid_synthesis,Endothelial,BAAT
28,RE1845C_neg,RE1845,Bile_acid_synthesis,Endothelial,BAAT
29,RE1845C_pos,RE1845,Bile_acid_synthesis,Endothelial,BAAT
30,RE1845X_neg,RE1845,Bile_acid_synthesis,Endothelial,BAAT
31,TAURtcx_pos,taurine_transport_(sodium_symport)_(cytosol_to_peroxisome),Taurine_and_hypotaurine_metabolism,Endothelial,SLC6A6
32,RE1845X_pos,RE1845,Bile_acid_synthesis,Endothelial,BAAT
33,r0630_neg,Choloyl-CoA:glycine_N-choloyltransferase_Bile_acid_biosynthesis_/_Taurine_and_hypotaurine_metabolism_EC:2.3.1.65,Bile_acid_synthesis,Endothelial,BAAT
34,FACOAL184_pos,fatty-acid--CoA_ligase,Fatty_acid_oxidation,Endothelial,ACSL1
35,CARPEPT1tc_pos,transport_of_L-Carnosine_by_the_apical_PEPT1_amino_acid_transporters_across_the_brush_border_cells_of_the_enterocytes_of_the_intestine_and_renal_cells,Transport__extracellular,Endothelial,SLC15A1
36,TAUBETAtc_pos,transport_of_taurine_into_the_intestinal_cells_by_beta_transport_system,Transport__extracellular,Endothelial,SLC6A6
37,TAURt4_2_r_pos,taurine_transport_(sodium_symport)_(2:1),Transport__extracellular,Endothelial,SLC6A6
38,FACOAL200_pos,fatty-acid--CoA_ligase,Fatty_acid_oxidation,Endothelial,ACSL1
39,FACOAL205_pos,fatty-acid--CoA_ligase,Fatty_acid_oxidation,Endothelial,ACSL1
40,RE0577C_pos,RE0577,Fatty_acid_synthesis,Endothelial,ACOT2
41,RE0344C_neg,RE0344,Fatty_acid_synthesis,Endothelial,ACOT2
42,r0559_pos,aldehyde_oxidase_Tyrosine_metabolism_EC:1.2.3.1,Unassigned,Endothelial,AOX1
43,BALABETAtc_pos,transport_of_beta_alanine_into_the_intestinal_cells_by_beta_transport_system,Transport__extracellular,Endothelial,SLC6A6
44,r1540_pos,Neurotransmitter:Sodium_Symporter_(NSS)_TCDB:2.A.22.3.3,Transport__extracellular,Endothelial,SLC6A6
45,FACOAL180i_pos,C180_fatty_acid_activation,Fatty_acid_oxidation,Endothelial,ACSL1
46,r0642_neg,(S)-Methylmalonate_semialdehyde:NAD+_oxidoreductase_Valine__leucine_and_isoleucine_degradation_EC:1.2.1.3,Unassigned,Endothelial,ALDH1B1
47,r0644_neg,(S)-Methylmalonate_semialdehyde:oxygen_oxidoreductase_Valine__leucine_and_isoleucine_degradation_EC:1.2.3.1,Unassigned,Endothelial,AOX1
48,r0559_neg,aldehyde_oxidase_Tyrosine_metabolism_EC:1.2.3.1,Unassigned,Endothelial,AOX1
49,MELATNOX_pos,Melatonin:NADP_oxidoreductase,Tryptophan_metabolism,Endothelial,CYP1A1
50,FACOAL2251_neg,fatty-acid--CoA_ligase,Fatty_acid_oxidation,Endothelial,ACSL1
51,PGDI_pos,Prostaglandin-H2_D-isomerase_[Precursor],Eicosanoid_metabolism,Endothelial,HPGDS
52,ORNDC_pos,Ornithine_Decarboxylase,Urea_cycle,Endothelial,ODC1
53,ALAALAPEPT1tc_pos,transport_of_Alanylalanine_by_the_apical_PEPT1_amino_acid_transporters_across_the_brush_border_cells_of_the_enterocytes_of_the_intestine_and_renal_cells,Transport__extracellular,Endothelial,SLC15A1
54,ALAALACNc_pos,ALAALACNc,Transport__extracellular,Endothelial,CNDP1
55,PGSr_pos,Prostaglandin_G/H_synthase,Eicosanoid_metabolism,Endothelial,PTGS1
56,DESAT18_3_pos,stearoyl-CoA_desaturase_(n-C18:0CoA_->_n-C18:1CoA),Fatty_acid_synthesis,Endothelial,SCD4
57,UGT1A10r_neg,UDP-glucuronosyltransferase_1-10_precursor__microsomal,Steroid_metabolism,Endothelial,UGT1A8
58,r0780_pos,4_4-dimethyl-5a-cholesta-8_24-dien-3b-ol:NADP+_D14-oxidoreductase_Biosynthesis_of_steroids_EC:1.3.1.70,Cholesterol_metabolism,Endothelial,TM7SF2
59,C14STRr_pos,C-14_sterol_reductase,Cholesterol_metabolism,Endothelial,TM7SF2
60,FACOAL203_pos,fatty-acid--CoA_ligase,Fatty_acid_oxidation,Endothelial,ACSL1
61,FACOAL203_neg,fatty-acid--CoA_ligase,Fatty_acid_oxidation,Endothelial,ACSL1
62,DLNLCGt_neg,fatty_acid_transport_via_diffusion,Transport__extracellular,Endothelial,SLC27A5
63,FACOAL224_neg,fatty-acid--CoA_ligase,Fatty_acid_oxidation,Endothelial,ACSL1
64,r0517_neg,Succinyl-CoA:glycine_C-succinyl-transferase(decarboxylating)_EC:2.3.1.37,Unassigned,Endothelial,ALAS1
65,ALASm_pos,5-aminolevulinate_synthase,Glycine__serine__alanine_and_threonine_metabolism,Endothelial,ALAS1
66,r0196_neg,Succinyl-CoA:glycine_C-succinyl-transferase(decarboxylating)_EC:2.3.1.37,Unassigned,Endothelial,ALAS1
67,H2CO3D_pos,carboxylic_acid_dissociation,Miscellaneous,Endothelial,CAR1
68,r1418_pos,Carbonic_acid_hydro-lyase_Nitrogen_metabolism_EC:4.2.1.1,Unassigned,Endothelial,CAR1
69,ALAR_pos,alanine_racemase,Alanine_and_aspartate_metabolism,Endothelial,PROSC
70,r0946_neg,Amino_Acid-Polyamine-Organocation_(APC)_TCDB:2.A.3.8.15,Transport__extracellular,Endothelial,SLC7A9
71,NTD5_pos,5'-nucleotidase_(dTMP),Pyrimidine_catabolism,Endothelial,NT5C
72,ILEtec_neg,L-isoleucine_transport_via_diffusion_(extracellular_to_cytosol),Transport__extracellular,Endothelial,SLC43A1
73,VALtec_neg,L-valine_transport_via_diffusion_(extracellular_to_cytosol),Transport__extracellular,Endothelial,SLC43A1
74,DNDPt55m_pos,dCTP_transport_via_ADP_antiport,Transport__mitochondrial,Endothelial,SLC25A19
75,GRTT_pos,geranyltranstransferase,Cholesterol_metabolism,Endothelial,GGPS1
76,IPDDI_pos,isopentenyl-diphosphate_D-isomerase,Squalene_and_cholesterol_synthesis,Endothelial,GM9745
77,DMATT_pos,dimethylallyltranstransferase,Cholesterol_metabolism,Endothelial,GGPS1
78,r0051_pos,AMP:pyrophosphate_phosphoribosyltransferase_Purine_metabolism_EC:2.4.2.7,Purine_catabolism,Endothelial,APRT
79,r1495_pos,Glycoside-Pentoside-Hexuronide_(GPH):Cation_Symporter_TCDB:2.A.28.1.1,Transport__extracellular,Endothelial,SLC10A1
80,FAEL204_pos,fatty-acyl-CoA_elongation_(n-C20:4CoA),Fatty_acid_synthesis,Endothelial,ELOVL2
81,r0993_pos,ATP-binding_Cassette_(ABC)_TCDB:3.A.1.208.2,Transport__extracellular,Endothelial,ABCC2
82,FAOXC2242046x_pos,Beta_oxidation_of_long_chain_fatty_acid,Fatty_acid_oxidation,Endothelial,ACAA1B
83,DNDPt56m_pos,dCTP_transport_via_ATP_antiport,Transport__mitochondrial,Endothelial,SLC25A19
84,ALACYSNaEx_pos,L-alanine/L-cysteine_Na-dependent_exchange_(Ala-L_in),Transport__extracellular,Endothelial,SLC1A4
85,LNSTLSr_pos,lanosterol_synthase,Cholesterol_metabolism,Endothelial,LSS
86,C4STMO1r_pos,C-4_sterol_methyl_oxidase_(4_4-dimethylzymosterol),Cholesterol_metabolism,Endothelial,MSMO1
87,LSTO2r_pos,Lathosterol_oxidase,Cholesterol_metabolism,Endothelial,CYP7A1
88,SQLEr_pos,Squalene_epoxidase__endoplasmic_reticular_(NADP),Cholesterol_metabolism,Endothelial,SQLE
89,C4STMO2Pr_pos,C-4_methyl_sterol_oxidase,Cholesterol_metabolism,Endothelial,NSDHL
90,LSTO1r_pos,Lathosterol_oxidase,Cholesterol_metabolism,Endothelial,SC5D
91,C3STDH1Pr_pos,C-3_sterol_dehydrogenase_(4-methylzymosterol),Cholesterol_metabolism,Endothelial,NSDHL
92,r0781_pos,Lanosterol_NADPH:oxygen_oxidoreductase_(14-methyl_cleaving)_Biosynthesis_of_steroids_EC:1.14.13.70,Cholesterol_metabolism,Endothelial,CYP51
93,C3STKR2r_pos,C-3_sterol_keto_reductase_(zymosterol),Cholesterol_metabolism,Endothelial,HSD17B4
94,r1381_neg,5alpha-Cholest-7-en-3beta-ol_delta7-delta8-isomerase_Biosynthesis_of_steroids_EC:5.3.3.5,Cholesterol_metabolism,Endothelial,EBP
95,DHCR71r_pos,7-dehydrocholesterol_reductase,Cholesterol_metabolism,Endothelial,DHCR7
96,r0780_neg,4_4-dimethyl-5a-cholesta-8_24-dien-3b-ol:NADP+_D14-oxidoreductase_Biosynthesis_of_steroids_EC:1.3.1.70,Cholesterol_metabolism,Endothelial,TM7SF2
97,DHCR243r_pos,24-dehydrocholesterol_reductase_[Precursor],Cholesterol_metabolism,Endothelial,DHCR24
98,LEUtec_pos,L-leucine_transport_via_diffusion_(extracellular_to_cytosol),Transport__extracellular,Endothelial,SLC43A1
99,ADPT_pos,adenine_phosphoribosyltransferase,Nucleotide_salvage_pathway,Endothelial,APRT
100,HEX1_pos,hexokinase_(D-glucose:ATP),Glycolysis/gluconeogenesis,Endothelial,GCK
101,DTMPKm_pos,dTMP_kinase_in_mitochondria,Pyrimidine_synthesis,Endothelial,DTYMK
102,C3STDH1r_pos,C-3_sterol_dehydrogenase_(4-methylzymosterol),Cholesterol_metabolism,Endothelial,NSDHL
103,UGT1A10r_pos,UDP-glucuronosyltransferase_1-10_precursor__microsomal,Steroid_metabolism,Endothelial,UGT1A8
104,r1671_neg,Y+LAT2_Utilized_transport,Transport__extracellular,Endothelial,SLC7A6
105,r0813_pos,ATP-binding_Cassette_(ABC)_TCDB:3.A.1.208.9,Transport__extracellular,Endothelial,ABCC3
106,ARGtiDF_pos,L-arginine_transport_via_diffusion_(extracellular_to_cytosol),Transport__extracellular,Endothelial,SLC38A4
107,r1671_pos,Y+LAT2_Utilized_transport,Transport__extracellular,Endothelial,SLC7A6
108,NCNt_neg,Na+/Ca2+-NH4+_exchange,Transport__extracellular,Endothelial,SLC24A1
109,NCNt_pos,Na+/Ca2+-NH4+_exchange,Transport__extracellular,Endothelial,SLC24A1
110,NTD3_pos,5'-nucleotidase_(dCMP),Pyrimidine_catabolism,Endothelial,GUCA1A
111,PHEtec_pos,L-phenylalanine_transport_via_diffusion_(extracellular_to_cytosol),Transport__extracellular,Endothelial,SLC16A10
112,FAOXC180x_pos,Beta_oxidation_of_long_chain_fatty_acid,Fatty_acid_oxidation,Endothelial,ACAA1B
113,COQ7m_pos,Ubiquinone_biosynthesis_COQ7,Ubiquinone_synthesis,Endothelial,COQ7
114,HBZOPT10m_pos,Hydroxybenzoate_Decaprenyltransferase,Ubiquinone_synthesis,Endothelial,COQ2
115,COQ6m_pos,Ubiquinone_biosynthesis_monooxgenase_COQ6,Ubiquinone_synthesis,Endothelial,COQ6
116,COQ3m_pos,methyltransferase_COQ3,Ubiquinone_synthesis,Endothelial,COQ3
117,TYRTAm_pos,tyrosine_transaminase__mitochondrial,Tyrosine_metabolism,Endothelial,GOT2
118,DHDPBMTm_pos,dihydroxydecaprenylbenzoate_methyltransferase,Ubiquinone_synthesis,Endothelial,COQ3
119,r1380_pos,delta24-sterol_reductase_Biosynthesis_of_steroids_EC:1.3.1.72,Cholesterol_metabolism,Endothelial,DHCR24
120,DSREDUCr_pos,Desmosterol_reductase,Squalene_and_cholesterol_synthesis,Endothelial,DHCR24
121,PRDXl_pos,Peroxidase_(multiple_substrates),Miscellaneous,Endothelial,MPO
122,r1569_pos,Amino_Acid-Polyamine-Organocation_(APC)_TCDB:2.A.3.8.1,Transport__extracellular,Endothelial,SLC7A5
123,r1559_pos,Amino_Acid-Polyamine-Organocation_(APC)_TCDB:2.A.3.8.1,Transport__extracellular,Endothelial,SLC7A5
124,SBTR_pos,D-sorbitol_reductase,Fructose_and_mannose_metabolism,Endothelial,AKR1A1
125,NDPK4m_pos,nucleoside-diphosphate_kinase_(ATP:dTDP)__mitochondrial,Nucleotide_interconversion,Endothelial,NME4
126,r0360_pos,Glycolysis_/_Glyconeogenesis_EC:2.7.1.1,Fructose_and_mannose_metabolism,Endothelial,HK1
127,RE0568C_pos,RE0568,Fatty_acid_synthesis,Endothelial,RPL14
128,RE0565C_pos,RE0565,Fatty_acid_synthesis,Endothelial,ELOVL2
129,GCHOLAt3_pos,ABC_bile_acid_transporter,Transport__extracellular,Endothelial,ABCB11
130,r0170_pos,Farnesyl-diphosphate:farnesyl-diphosphate_farnesyltransferase_Biosynthesis_of_steroids_EC:2.5.1.21,Cholesterol_metabolism,Endothelial,FDFT1
131,r0575_pos,Presqualene_diphosphate:farnesyl-diphosphate_farnesyltransferase_Biosynthesis_of_steroids_EC:2.5.1.21,Cholesterol_metabolism,Endothelial,FDFT1
132,ILEtec_pos,L-isoleucine_transport_via_diffusion_(extracellular_to_cytosol),Transport__extracellular,Endothelial,SLC43A1
133,METtec_pos,L-methionine_transport_via_diffusion_(extracellular_to_cytosol),Transport__extracellular,Endothelial,SLC43A1
134,VALtec_pos,L-valine_transport_via_diffusion_(extracellular_to_cytosol),Transport__extracellular,Endothelial,SLC43A1
135,C4STMO2r_pos,C-4_methyl_sterol_oxidase,Cholesterol_metabolism,Endothelial,MSMO1
136,NTD9_pos,5'-nucleotidase_(GMP),Nucleotide_interconversion,Endothelial,NT5C1A
137,PYNP2r_pos,pyrimidine-nucleoside_phosphorylase_(uracil),Pyrimidine_catabolism,Endothelial,UPP1
138,TTDCAtr_pos,tetradecanoate_(transport),Transport__extracellular,Endothelial,SLC27A2
139,r0047_pos,Adenosine_5-monophosphate_phosphohydrolase_Purine_metabolism_EC:3.1.3.5,Purine_catabolism,Endothelial,NT5C
140,CHOLESTle_pos,hydrolysis_of_cholesterol_ester_by_cholesterol_esterase,Transport__extracellular,Endothelial,LIPA
141,r0954_pos,MCT_1_Transport_reaction,Transport__peroxisomal,Endothelial,SLC16A1
142,PMEVKx_pos,phosphomevalonate_kinase,Cholesterol_metabolism,Endothelial,PMVK
143,DPMVDx_pos,diphosphomevalonate_decarboxylase,Cholesterol_metabolism,Endothelial,MVD
144,MEVK1x_pos,mevalonate_kinase_(atp),Cholesterol_metabolism,Endothelial,MVK
145,NDPK8m_pos,nucleoside-diphosphate_kinase_(ATP:dADP)__mitochondrial,Nucleotide_interconversion,Endothelial,NME4
146,RE1796M_pos,RE1796,Bile_acid_synthesis,Endothelial,HSD3B2
147,FACOAL80i_pos,fatty-acid--CoA_ligase_(octanoate),Fatty_acid_oxidation,Endothelial,ACSL3
148,ASPGLUm_pos,aspartate-glutamate_mitochondrial_shuttle,Transport__mitochondrial,Endothelial,SLC25A12
149,RE2973C_pos,RE2973,Phosphatidylinositol_phosphate_metabolism,Endothelial,PIK3C2A
150,PI3P5K_pos,phosphatidylinositol_3-phosphate_5-kinase,Inositol_phosphate_metabolism,Endothelial,PIP5K1A
151,RE2974C_neg,RE2974,Phosphatidylinositol_phosphate_metabolism,Endothelial,PIP4K2A
152,DCSPTN1CPT1_pos,carnitine_O-palmitoyltransferase,Fatty_acid_oxidation,Endothelial,CPT1A
153,DCSPTN1CPT2_pos,carnitine_transferase,Fatty_acid_oxidation,Endothelial,CPT2
154,FAOXC2251836m_pos,Beta_oxidation_of_fatty_acid,Fatty_acid_oxidation,Endothelial,ACADM
155,DCSPTN1CRNt_pos,transport_into_the_mitochondria_(carnitine),Fatty_acid_oxidation,Endothelial,SLC25A20
156,ADK3m_neg,adentylate_kinase_(GTP),Nucleotide_interconversion,Endothelial,AK3
157,ADK1m_pos,adenylate_kinase__mitochondrial,Nucleotide_interconversion,Endothelial,AK2
158,ADK3m_pos,adentylate_kinase_(GTP),Nucleotide_interconversion,Endothelial,AK3
159,ADK1m_neg,adenylate_kinase__mitochondrial,Nucleotide_interconversion,Endothelial,AK2
160,VITD3Hm_pos,Vitamin_D-25-hydroxylase_(D3),Vitamin_D_metabolism,Endothelial,CYP27A1
161,TYRt_pos,L-tyrosine_transport,Transport__extracellular,Endothelial,SLC16A10
162,TRPt_pos,L-tryptophan_transport,Transport__extracellular,Endothelial,SLC16A10
163,DTMPK_pos,dTMP_kinase,Nucleotide_interconversion,Endothelial,DTYMK
164,LYStm_neg,Lysine_mitochondrial_transport_via_ornithine_carrier,Transport__mitochondrial,Endothelial,SLC25A2
165,ARGtm_neg,arginine_mitochondrial_transport_via_ornithine_carrier,Transport__mitochondrial,Endothelial,SLC25A2
166,r0233_pos,UDPglucose:alpha-D-galactose-1-phosphate_uridylyltransferase_Galactose_metabolism_/_Nucleotide_sugars_metabolism_EC:2.7.7.12,Unassigned,Endothelial,CBS
167,HISSNAT5tc_pos,Transport_of_L-Histidine_into_the_cell_coupled_with_co-transport_with_Sodium_and_counter_transport_with_proton_by_SNAT5_transporter.,Transport__extracellular,Endothelial,SLC38A5
168,NDPK6m_pos,nucleoside-diphosphate_kinase_(ATP:dUDP)__mitochondrial,Nucleotide_interconversion,Endothelial,NME4
169,ST6GALNAC21_pos,Alpha-N-acetylgalactosaminide_alpha-2_6-sialyltransferase_2,Sphingolipid_metabolism,Endothelial,ST6GALNAC2
170,ST6GALNAC22_pos,Alpha-N-acetylgalactosaminide_alpha-2_6-sialyltransferase_2,Sphingolipid_metabolism,Endothelial,ST6GALNAC2
171,SIAT4Bg_pos,Beta-galactoside_alpha-2_3-sialyltransferase__Golgi_apparatus,Sphingolipid_metabolism,Endothelial,ST3GAL2
172,ALCD22_L_pos,alcohol_dehydrogenase_(L-lactaldehyde),Pyruvate_metabolism,Endothelial,ADH1
173,ALCD21_L_pos,alcohol_dehydrogenase_(L-1_2-propanediol),Pyruvate_metabolism,Endothelial,ADH1
174,ALR2_pos,aldose_reductase_(methylglyoxal),Pyruvate_metabolism,Endothelial,AKR1A1
175,ALR3_pos,aldose_reductase_(acetol),Pyruvate_metabolism,Endothelial,AKR1A1
176,CRNtim_pos,L-carnitine_transport_out_of_mitochondria_via_diffusion,Transport__mitochondrial,Endothelial,SLC25A20
177,KCCt_neg,K+-Cl-_cotransport,Transport__extracellular,Endothelial,SLC12A4
178,KCCt_pos,K+-Cl-_cotransport,Transport__extracellular,Endothelial,SLC12A4
179,ST8SIA11_pos,Beta-galactoside_alpha-2_3-sialyltransferase,Sphingolipid_metabolism,Endothelial,ST8SIA1
180,CSNATp_neg,carnitine_O-acetyltransferase__reverse_direction__peroxisomal,Fatty_acid_oxidation,Endothelial,CRAT
181,P4507B12r_pos,oxysterol_7alpha-hydroxylase,Bile_acid_synthesis,Endothelial,CYP7B1
182,FACOAL140i_pos,fatty-acid--CoA_ligase_(tetradecanoate),Fatty_acid_oxidation,Endothelial,ACSL3
183,BALAVECSEC_pos,B-alanine_secretion_via_secretory_vesicle_(ATP_driven),Transport__extracellular,Endothelial,SLC32A1
184,TSTSTERONESULT_pos,testosterone_sulfotransferase,Steroid_metabolism,Endothelial,SULT1A1
185,NTD1_pos,5'-nucleotidase_(dUMP),Pyrimidine_catabolism,Endothelial,NT5C
186,VALTAm_pos,valine_transaminase__mitochondiral,Valine__leucine__and_isoleucine_metabolism,Endothelial,BCAT2
187,r0321_pos,Acetoacetate:CoA_ligase_(AMP-forming)_Butanoate_metabolism_EC:6.2.1.16,Cholesterol_metabolism,Endothelial,AACS
188,RBK_pos,ribokinase,Pentose_phosphate_pathway,Endothelial,RBKS
189,GRTTx_pos,geranyltranstransferase,Cholesterol_metabolism,Endothelial,FDPS
190,IPDDIx_pos,isopentenyl-diphosphate_D-isomerase,Cholesterol_metabolism,Endothelial,GM9745
191,r0377_pos,ATP:deoxycitidine_5-phosphotransferase_Pyrimidine_metabolism_EC:2.7.1.74,Pyrimidine_catabolism,Endothelial,DCK
192,DMATTx_pos,dimethylallyltranstransferase,Cholesterol_metabolism,Endothelial,FDPS
193,CTPS1_pos,CTP_synthase_(NH3),Nucleotide_interconversion,Endothelial,CTPS
194,ESTRADIOLGLCt_neg,estradiol_glucuronide_transport_via_bicarbonate_countertransport,Transport__extracellular,Endothelial,SLCO1A1
195,UGT1A6r_pos,UDP-glucuronosyltransferase_1-10_precursor__microsomal,Steroid_metabolism,Endothelial,UGT1A8
196,VACCCPT2_pos,carnitine_transferase,Fatty_acid_oxidation,Endothelial,CPT2
197,VACCCPT1_pos,carnitine_O-palmitoyltransferase,Fatty_acid_oxidation,Endothelial,CPT1A
198,VACCCRNt_pos,transport_into_the_mitochondria_(carnitine),Fatty_acid_oxidation,Endothelial,SLC25A20
199,FAOXC1811602m_pos,Beta_oxidation__fatty_acid,Fatty_acid_oxidation,Endothelial,ACADM
200,SMPD3g_pos,sphingomyelin_phosphodiesterase_3__neutral_membrane_(neutral_sphingomyelinase_II),Sphingolipid_metabolism,Endothelial,ENPP7
201,SMS_pos,Sphingomyelin_synthase_(homo_sapiens),Sphingolipid_metabolism,Endothelial,SGMS1
202,CERT1gt_neg,ceramide_transport_protein,Transport__golgi_apparatus,Endothelial,COL4A3BP
203,HISCAT1_neg,Transport_of_L-Histidine_by_y+_transporter,Transport__extracellular,Endothelial,SLC7A1
204,r1492_pos,Utilized_transport,Transport__extracellular,Endothelial,ABCC8
205,UGT1A1r_pos,UDP-glucuronosyltransferase_1-10_precursor__microsomal,Steroid_metabolism,Endothelial,UGT1A8
206,ESTRONEGLCt_pos,ABC_transporter,Transport__extracellular,Endothelial,ABCC3
207,DGK1_pos,deoxyguanylate_kinase_(dGMP:ATP),Nucleotide_interconversion,Endothelial,GUK1
208,FUCASE2e_pos,alpha-fucosidase__extracellular,Keratan_sulfate_degradation,Endothelial,FUCA2
209,NAt5_pos,sodium/ammonium_proton_antiporter,Transport__extracellular,Endothelial,SLC9A1
210,r0750_neg,3alpha_7alpha_12alpha-Trihydroxy-5beta-cholestane:NADP+_oxidoreductase_(B-specific);_3alpha_7alpha_12alpha-Trihydroxy-5beta-cholestane:NADP+_oxidoreductase_Bile_acid_biosynthesis_EC:1.1.1.50,Bile_acid_synthesis,Endothelial,AKR1C6
211,C121CPT1_pos,production_of_dodecenoylcarnitine,Fatty_acid_oxidation,Endothelial,CPT1A
212,C102CPT1_pos,production_of_decadienoylcarnitine,Fatty_acid_oxidation,Endothelial,CPT1A
213,C101CPT1_pos,production_of_decenoylcarnitine,Fatty_acid_oxidation,Endothelial,CPT1A
214,C81CPT1_pos,production_of_ocetenoylcarnitine,Fatty_acid_oxidation,Endothelial,CPT1A
215,C142CPT1_pos,production_of_tetradecadienoylcarnitine,Fatty_acid_oxidation,Endothelial,CPT1A
216,C141CPT1_pos,production_of_tetradecenoylcarnitine,Fatty_acid_oxidation,Endothelial,CPT1A
217,C80CPT1_pos,production_of_octanoylcarnitine,Fatty_acid_oxidation,Endothelial,CPT1A
218,r0354_pos,Glycolysis_/_Glyconeogenesis_EC:2.7.1.1,Glycolysis/gluconeogenesis,Endothelial,GCK
219,r0358_pos,Glycolysis_/_Glyconeogenesis_EC:2.7.1.1,Fructose_and_mannose_metabolism,Endothelial,HK1
220,ACACT1rm_pos,acetyl-CoA_C-acetyltransferase__mitochondrial,Tryptophan_metabolism,Endothelial,ACAT1
221,MACACI_pos,maleylacetoacetate_isomerase,Tyrosine_metabolism,Endothelial,GSTZ1
222,FUMAC_pos,fumarylacetoacetase,Tyrosine_metabolism,Endothelial,FAH
223,HGNTOR_pos,Homogentisate:oxygen_1_2-oxidoreductase_(decyclizing),Tyrosine_metabolism,Endothelial,HGD
224,34HPPOR_pos,4-Hydroxyphenylpyruvate:oxygen_oxidoreductase,Tyrosine_metabolism,Endothelial,HPD
225,ACACT1r_pos,acetyl-CoA_C-acetyltransferase,Tryptophan_metabolism,Endothelial,ACAT3
226,FTHFL_pos,Formate-tetrahydrofolate_ligase,Folate_metabolism,Endothelial,MTHFD1
227,r0555_pos,acetyl-CoA:enzyme_N6-(dihydrolipoyl)lysine_S-acetyltransferase_Glycolysis_/_Gluconeogenesis_/_Alanine_and_aspartate_metabolism_/_Pyruvate_metabolism_EC:2.3.1.12,Unassigned,Endothelial,DLAT
228,r0383_pos,pyruvate:[dihydrolipoyllysine-residue_acetyltransferase]-lipoyllysine_2-oxidoreductase_(decarboxylating__acceptor-acetylating)_EC:1.2.4.1,Unassigned,Endothelial,PDHA1
229,PPM_neg,phosphopentomutase,Pentose_phosphate_pathway,Endothelial,PGM1
230,NAGA2ly_pos,N-acetylgalactosaminidase__alpha-,Keratan_sulfate_degradation,Endothelial,NAGA
